add medicine,2024-05-14T14:06:01.694553700
add medicine,2024-05-14T14:10:13.679346800
add medicine,2024-05-14T14:13:03.782373700
add medicine,2024-05-14T14:13:15.624292600
add client,2024-05-14T14:14:19.975302500
add client,2024-05-14T14:15:01.372347400
add employee,2024-05-14T14:15:06.099015800
add client,2024-05-14T14:17:13.798066300
add client,2024-05-14T14:17:17.197177100
add employee,2024-05-14T14:17:21.153074100
add medicine,2024-05-14T14:17:26.760823500
edit employee,2024-05-14T14:18:01.155088900
add medicine,2024-05-14T14:28:05.953278300
